Date,Open,High,Low,Close,AdjClose,Volume
2024-09-19,164.15,164.2,159.91,160.7,158.49,7465000
2024-09-20,160.39,162.7,159.42,162.56,160.32,11097500
2024-09-23,162.56,164.19,161.23,163.88,161.63,6342500
2024-09-24,165.12,167.31,163.4,167.1,164.8,5400000
2024-09-25,167.1,167.24,165.95,167.03,164.73,4917500
2024-09-26,168.41,170.92,167.88,170.76,168.41,5347500
2024-09-27,170.76,170.84,169.24,169.92,167.59,4065000
2024-09-30,168.81,169.13,167.33,168.48,166.17,5445000
2024-10-01,169.12,169.12,163.41,164.04,161.78,5962500
2024-10-02,164.04,165.15,162.89,165.0,162.73,4112500
2024-10-03,163.2,164.54,162.44,164.16,161.91,3015000
2024-10-04,166.59,167.87,165.37,167.51,165.2,4190000
2024-10-07,167.03,170.25,166.38,166.79,164.5,4612500
2024-10-08,167.2,170.4,167.2,169.33,167.0,4022500
2024-10-09,169.16,172.19,169.09,171.68,169.32,3847500
2024-10-10,171.56,172.32,170.69,171.53,169.17,3110000
2024-10-11,172.0,173.14,171.11,171.39,169.03,3125000
2024-10-14,171.9,172.73,171.36,171.91,169.54,3495000
2024-10-15,171.13,174.85,170.98,172.31,169.94,4570000
2024-10-16,172.02,174.24,171.15,173.49,171.1,3100000
2024-10-17,174.4,175.8,174.28,174.83,172.43,3717500
2024-10-18,174.83,175.11,173.38,174.03,171.64,3652500
2024-10-21,172.93,175.04,172.93,174.55,172.15,3307500
2024-10-22,173.27,175.8,173.23,175.11,172.7,3105000
2024-10-23,174.16,174.81,170.82,172.52,170.15,4445000
2024-10-24,172.0,173.65,171.57,173.55,171.16,3995000
2024-10-25,175.0,175.0,173.37,173.91,171.52,3740000
2024-10-28,175.2,175.2,172.8,173.9,171.51,5382500
2024-10-29,173.29,177.63,173.29,177.1,174.67,5047500
2024-10-30,175.4,179.12,175.4,178.56,176.1,8017500
2024-10-31,189.36,194.26,185.75,187.05,184.48,12850000
2024-11-01,186.76,191.6,186.76,189.96,187.35,12992500
2024-11-04,190.88,193.0,189.13,191.06,188.43,5000000
2024-11-05,190.8,196.64,190.8,196.6,193.9,9630000
2024-11-06,201.47,202.42,197.69,200.05,197.3,6807500
2024-11-07,200.53,200.68,196.52,196.83,194.13,8380000
2024-11-08,196.91,199.02,196.91,197.73,195.01,7060000
2024-11-11,197.44,202.78,197.44,202.62,199.83,4385000
2024-11-12,201.16,202.03,199.85,200.92,198.15,7787500
2024-11-13,199.92,201.36,198.89,199.5,196.75,4982500
2024-11-14,198.32,199.8,198.08,198.84,196.1,6052500
2024-11-15,198.8,199.19,197.3,199.01,196.27,5890000
2024-11-18,198.78,201.18,197.24,200.71,197.95,5730000
2024-11-19,199.75,199.75,197.48,199.08,196.34,5115000
2024-11-20,198.67,200.76,196.28,200.66,197.9,4185000
2024-11-21,202.02,208.47,200.66,208.44,205.57,6067500
2024-11-22,208.1,208.64,205.63,207.09,204.24,6165000
2024-11-25,208.52,209.48,202.95,204.35,201.54,11112500
2024-11-26,204.4,208.6,204.4,208.59,205.72,4067500
2024-11-27,207.51,209.2,206.44,208.93,206.05,4277500
2024-11-29,207.09,209.2,207.09,208.08,205.22,3317500
2024-12-02,208.26,209.33,207.4,208.97,206.1,5147500
2024-12-03,208.97,210.33,208.17,208.58,205.71,4897500
2024-12-04,208.0,209.95,206.47,209.73,206.84,5080000
2024-12-05,210.16,213.2,208.0,211.52,208.61,4592500
2024-12-06,210.4,213.49,210.4,212.01,209.44,4707500
2024-12-09,209.6,211.21,205.68,205.98,203.49,6825000
2024-12-10,206.96,208.95,204.46,207.41,204.9,6367500
2024-12-11,210.13,211.82,208.75,211.72,209.15,4910000
2024-12-12,212.0,213.49,210.23,210.76,208.2,3687500
2024-12-13,209.6,210.42,208.54,209.1,206.57,4102500
2024-12-16,208.27,209.26,205.65,206.09,203.59,8562500
2024-12-17,205.16,207.09,204.39,206.2,203.7,5512500
2024-12-18,206.2,206.69,197.59,197.73,195.34,7907500
2024-12-19,199.88,200.83,197.87,199.22,196.8,6955000
2024-12-20,198.22,203.41,198.22,201.94,199.5,11595000
2024-12-23,202.67,202.86,200.2,202.52,200.07,4130000
2024-12-24,203.45,204.92,202.03,204.92,202.43,1965000
2024-12-26,203.76,205.03,203.71,203.84,201.37,1717500
2024-12-27,202.4,203.15,200.65,201.5,199.05,2912500
2024-12-30,199.7,200.66,197.52,199.63,197.22,3692500
2024-12-31,199.6,200.29,198.53,198.74,196.33,2632500
2025-01-02,199.63,201.6,195.87,197.01,194.62,3532500
2025-01-03,197.51,198.48,195.15,196.15,193.78,4137500
2025-01-06,197.71,197.71,193.82,196.39,194.01,6955000
2025-01-07,195.26,195.57,191.52,191.84,189.52,5507500
2025-01-08,192.36,195.09,191.42,194.9,192.54,6657500
2025-01-10,192.37,193.43,188.01,189.58,187.28,7655000
2025-01-13,188.41,191.22,186.41,190.56,188.25,5247500
2025-01-14,191.27,192.36,190.04,191.15,188.84,5152500
2025-01-15,194.07,195.98,192.63,193.19,190.84,5757500
2025-01-16,192.71,196.06,191.93,194.6,192.24,4710000
2025-01-17,198.0,199.08,195.78,197.07,194.68,6502500
2025-01-21,197.02,197.38,184.6,187.46,185.18,10147500
2025-01-22,187.26,188.18,183.84,184.77,182.53,9322500
2025-01-23,184.83,192.9,184.36,192.73,190.39,10057500
2025-01-24,192.08,193.12,188.95,190.6,188.29,6000000
2025-01-27,186.27,191.25,186.27,187.01,184.75,7490000
2025-01-28,186.8,190.06,186.4,187.39,185.12,8275000
2025-01-29,188.22,189.76,187.55,188.87,186.59,4477500
2025-01-30,191.57,191.57,188.0,190.97,188.66,5925000
2025-01-31,191.84,193.2,188.44,189.5,187.21,6130000
2025-02-03,186.81,189.71,184.22,187.72,185.44,6290000
2025-02-04,186.82,189.14,186.23,187.16,184.89,6545000
2025-02-05,187.54,191.15,187.36,187.98,185.7,5465000
2025-02-06,189.23,193.88,189.2,191.19,188.87,10700000
2025-02-07,195.4,202.91,194.76,195.5,193.13,10765000
2025-02-10,198.51,199.48,196.24,196.54,194.16,4795000
2025-02-11,195.84,197.27,194.54,195.89,193.52,4435000
2025-02-12,195.08,200.83,195.08,200.72,198.29,4972500
2025-02-13,202.38,203.16,199.37,200.35,197.92,5610000
2025-02-14,203.42,203.42,199.02,201.78,199.33,5062500
2025-02-18,204.34,206.6,202.41,205.68,203.18,6947500
2025-02-19,206.74,206.74,201.72,204.42,201.95,4680000
2025-02-20,204.4,204.4,199.03,200.73,198.3,7540000
2025-02-21,208.54,211.28,198.8,199.63,197.21,18112500
2025-02-24,200.16,204.12,199.92,201.96,199.52,8755000
2025-02-25,203.6,203.6,198.08,201.35,198.91,8975000
